epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,325.55,1.39941,1.92344,1.38334,0.50472,0.31622,0.30138,0.17006,1.34675,10.3061,1.29553,0.000208258,0.000208258,0.000208258
2,652.21,1.45045,1.6584,1.41626,0.58923,0.29819,0.29135,0.17109,1.31115,6.03884,1.30849,0.00039597,0.00039597,0.00039597
3,1032.85,1.43383,1.60444,1.41091,0.43564,0.35069,0.34266,0.20302,1.27099,7.98243,1.26092,0.000563057,0.000563057,0.000563057
4,1396.53,1.39521,1.51551,1.39241,0.55789,0.38292,0.37026,0.22262,1.24242,9.35339,1.24569,0.000532187,0.000532187,0.000532187
5,1699.81,1.35303,1.42915,1.36376,0.60229,0.38496,0.41772,0.25392,1.20181,8.6095,1.22001,0.00050125,0.00050125,0.00050125
6,1998.71,1.30956,1.35519,1.34044,0.54098,0.43754,0.43331,0.26539,1.18888,8.8138,1.21232,0.000470312,0.000470312,0.000470312
7,2309.7,1.28966,1.3059,1.32148,0.58398,0.42428,0.44677,0.27875,1.17422,10.1029,1.20134,0.000439375,0.000439375,0.000439375
8,2615.35,1.26284,1.25078,1.3048,0.5542,0.45861,0.44393,0.28379,1.13094,8.67203,1.16173,0.000408438,0.000408438,0.000408438
9,2917.96,1.2393,1.20765,1.28416,0.64103,0.44254,0.48299,0.304,1.12656,9.38769,1.16575,0.0003775,0.0003775,0.0003775
10,3223.15,1.21366,1.15826,1.27218,0.62163,0.43022,0.47291,0.30799,1.08591,10.6828,1.14181,0.000346563,0.000346563,0.000346563
11,3530.22,1.10692,0.91639,1.20211,0.60428,0.46584,0.48891,0.31309,1.09766,10.8267,1.14603,0.000315625,0.000315625,0.000315625
12,3828.5,1.07913,0.86631,1.18654,0.63099,0.443,0.48783,0.31853,1.08702,11.1167,1.13167,0.000284688,0.000284688,0.000284688
13,4126.75,1.06289,0.83147,1.17329,0.61716,0.47834,0.50495,0.33237,1.06975,10.7476,1.12764,0.00025375,0.00025375,0.00025375
14,4487.4,1.03779,0.80206,1.15796,0.63112,0.47937,0.51258,0.34152,1.05357,11.044,1.11202,0.000222813,0.000222813,0.000222813
15,4808.8,1.01106,0.76066,1.14211,0.63399,0.48649,0.52272,0.34848,1.04813,11.0942,1.10711,0.000191875,0.000191875,0.000191875
16,5209.01,0.99123,0.73274,1.13244,0.67963,0.48759,0.53765,0.36001,1.0377,11.245,1.10664,0.000160938,0.000160938,0.000160938
17,5598.37,0.97237,0.69533,1.12176,0.64592,0.50365,0.54243,0.36226,1.02606,11.7667,1.09283,0.00013,0.00013,0.00013
18,6020.91,0.95221,0.66599,1.10587,0.68448,0.49106,0.54909,0.36606,1.02354,11.8933,1.09145,9.90625e-05,9.90625e-05,9.90625e-05
19,6478.22,0.93339,0.64565,1.09525,0.67995,0.49604,0.55259,0.37304,1.01944,11.9117,1.08628,6.8125e-05,6.8125e-05,6.8125e-05
20,6930.58,0.91791,0.622,1.08773,0.65836,0.51363,0.55346,0.37224,1.01671,11.9226,1.08785,3.71875e-05,3.71875e-05,3.71875e-05
